Date,Close,High,Low,Open,Volume,Return,SMA_10,SMA_50,RSI,Volatility,Target
2015-03-16,2081.18994140625,2081.409912109375,2055.35009765625,2055.35009765625,3295600000,0.013533671171787054,2074.297985839844,2059.7132006835936,40.90110493801568,0.009998978802072796,0
2015-03-17,2074.280029296875,2080.590087890625,2065.080078125,2080.590087890625,3221840000,-0.003320173700583018,2070.9479858398436,2060.034802246094,39.78419007002102,0.009967622950602136,1
2015-03-18,2099.5,2106.85009765625,2061.22998046875,2072.840087890625,4128210000,0.012158421402569175,2071.0449829101562,2061.613203125,47.39597532570812,0.010785103902880372,0
2015-03-19,2089.27001953125,2098.68994140625,2085.56005859375,2098.68994140625,3305220000,-0.004872579408787825,2069.8679809570312,2063.3464038085935,46.535642090765705,0.010886748973947018,1
2015-03-20,2108.10009765625,2113.919921875,2090.320068359375,2090.320068359375,5554120000,0.00901275466979845,2073.5519897460936,2064.9904052734373,47.9424573713245,0.010093053337440374,0
2015-03-23,2104.419921875,2114.860107421875,2104.419921875,2107.989990234375,3267960000,-0.0017457310425351702,2076.050988769531,2065.836005859375,49.23571413498478,0.010119738885264394,0
2015-03-24,2091.5,2107.6298828125,2091.5,2103.93994140625,3189820000,-0.006139421956948832,2080.7849853515627,2066.7698046875,48.42721607139931,0.008387210097902794,0
2015-03-25,2061.050048828125,2097.429931640625,2061.050048828125,2093.10009765625,3521140000,-0.014558905652342857,2082.8659912109374,2067.42560546875,42.04748814641256,0.009911598700234397,0
2015-03-26,2056.14990234375,2067.14990234375,2045.5,2059.93994140625,3510670000,-0.002377499996742527,2081.885986328125,2068.0880029296877,46.66517233166909,0.009069589782292404,1
2015-03-27,2061.02001953125,2062.830078125,2052.9599609375,2055.780029296875,3008550000,0.0023685613495147972,2082.647998046875,2069.0830029296876,45.87684390217763,0.008877559547310364,1
2015-03-30,2086.239990234375,2088.969970703125,2064.110107421875,2064.110107421875,2917690000,0.012236645187396533,2083.1530029296873,2070.954401855469,59.86864292024732,0.008671534049046458,0
2015-03-31,2067.889892578125,2084.050048828125,2067.0400390625,2084.050048828125,3376550000,-0.008795775050879251,2082.5139892578127,2071.923798828125,56.0734211807708,0.009086792668357737,0
